"city_name","total_revenue","total_customers","average_revenue"
"Pune","1258290","52","24197.88"
"Chennai","944120","42","22479.05"
"Bangalore","860110","39","22054.10"
"Jaipur","803450","69","11644.20"
"Delhi","750420","68","11035.59"
"Mumbai","235000","27","8703.70"
"Indore","138590","21","6599.52"
"Surat","176540","27","6538.52"
"Hyderabad","131520","21","6262.86"
"Kolkata","171460","28","6123.57"
"Kanpur","213550","35","6101.43"
"Ahmedabad","137690","23","5986.52"
"Nagpur","140050","24","5835.42"
"Lucknow","109400","21","5209.52"
