"city_name","population","coffee_consumers_millions","unique_cx"
"Delhi","31000000","7.75","68"
"Mumbai","20400000","5.10","27"
"Kolkata","14900000","3.73","28"
"Bangalore","12300000","3.08","39"
"Chennai","11100000","2.78","42"
"Hyderabad","10000000","2.50","21"
"Ahmedabad","8300000","2.08","23"
"Pune","7500000","1.88","52"
"Surat","7200000","1.80","27"
"Jaipur","4000000","1.00","69"
"Lucknow","3800000","0.95","21"
"Indore","3300000","0.83","21"
"Kanpur","3100000","0.78","35"
"Nagpur","2900000","0.73","24"
