"city_name","product_name","sales_volume"
"Ahmedabad","Cold Brew Coffee Pack (6 Bottles)","40"
"Ahmedabad","Coffee Beans (500g)","35"
"Ahmedabad","Instant Coffee Powder (100g)","26"
"Bangalore","Cold Brew Coffee Pack (6 Bottles)","197"
"Bangalore","Ground Espresso Coffee (250g)","167"
"Bangalore","Instant Coffee Powder (100g)","150"
"Chennai","Cold Brew Coffee Pack (6 Bottles)","192"
"Chennai","Coffee Beans (500g)","181"
"Chennai","Instant Coffee Powder (100g)","172"
"Delhi","Ground Espresso Coffee (250g)","183"
"Delhi","Instant Coffee Powder (100g)","170"
"Delhi","Coffee Beans (500g)","161"
"Hyderabad","Instant Coffee Powder (100g)","36"
"Hyderabad","Cold Brew Coffee Pack (6 Bottles)","28"
"Hyderabad","Ground Espresso Coffee (250g)","27"
"Indore","Instant Coffee Powder (100g)","33"
"Indore","Cold Brew Coffee Pack (6 Bottles)","26"
"Indore","Ground Espresso Coffee (250g)","26"
"Jaipur","Cold Brew Coffee Pack (6 Bottles)","178"
"Jaipur","Coffee Beans (500g)","175"
"Jaipur","Instant Coffee Powder (100g)","170"
"Kanpur","Cold Brew Coffee Pack (6 Bottles)","57"
"Kanpur","Ground Espresso Coffee (250g)","55"
"Kanpur","Coffee Beans (500g)","50"
"Kolkata","Ground Espresso Coffee (250g)","45"
"Kolkata","Cold Brew Coffee Pack (6 Bottles)","44"
"Kolkata","Coffee Beans (500g)","38"
"Lucknow","Instant Coffee Powder (100g)","28"
"Lucknow","Coffee Beans (500g)","25"
"Lucknow","Cold Brew Coffee Pack (6 Bottles)","23"
"Lucknow","Ground Espresso Coffee (250g)","23"
"Mumbai","Ground Espresso Coffee (250g)","62"
"Mumbai","Instant Coffee Powder (100g)","60"
"Mumbai","Cold Brew Coffee Pack (6 Bottles)","53"
"Nagpur","Ground Espresso Coffee (250g)","39"
"Nagpur","Instant Coffee Powder (100g)","29"
"Nagpur","Coffee Beans (500g)","28"
"Nagpur","Cold Brew Coffee Pack (6 Bottles)","28"
"Pune","Cold Brew Coffee Pack (6 Bottles)","259"
"Pune","Ground Espresso Coffee (250g)","254"
"Pune","Instant Coffee Powder (100g)","245"
"Surat","Coffee Beans (500g)","48"
"Surat","Cold Brew Coffee Pack (6 Bottles)","45"
"Surat","Ground Espresso Coffee (250g)","41"
